Contribution,Annotation 1,Annotation 2
"We introduce in this paper a novel method, that
we call Multi-Task Supervised Pre-training and Adaptation (MuTSPad)",New Algorithm/ Method,New Algorithm/ Method
"we pro-pose to build multi-task datasets for the News and
Tweets domains, by unifying the aforementioned
task-independent datasets.",Dataset Creation,Dataset Creation
"Hence our model can grasp
useful word-level semantic information and al-leviate the interference of segmentation error
cascading.",Model Optimization,Model Optimization
"The above operations provide a
wealth of resources to allow the model to in-
fer word-level deep characteristics, rather than
bluntly impose segmentation information.",Resources,Resources
"For document
level, we reused last year’s English-French data
for training and validation, but introduced a new
test set from the same corpus",Performance Evaluation,Performance Evaluation
"For QE as a metric we ran the evaluation jointly with the WMT19 metrics task, which meant applying the QE systems to news translation submissions and evaluating them against the human judgments collected this year",Performance Evaluation,Performance Evaluation
fair assessment of the progress in APE technology and for tests in more challenging conditions,Performance Evaluation,Performance Evaluation
"reusing the same test English-German set used last year, the evaluation framework allows us for a direct comparison with the last year’s outcomes at least on one language",Performance Evaluation,Performance Evaluation
"construction of training data and the official test sets, including statistics and an evalua- 31 tion of the quality of the test sets",Dataset Creation,Dataset Creation
a description of the three baselines that we developed for comparison,Theory Proposal,Theory Proposal
"an overview of the task, presents the results for the participating systems and provides analysis on additional subset sizes and the average sentence length of sub-selected data.",Performance Evaluation,Performance Evaluation
We obtain new results using referential translation machines with increased number of learning models in the set of results that are stacked to obtain a better mixture of experts prediction,Theory Proposal,Theory Proposal
We extend OpenKiwi with a Transformer predictor-estimator model,Model Optimization,Model Optimization
"We propose new ensembling techniques for combining word-level and sentence-level predictions, which outperform previously used stacking approaches",Model Optimization,Model Optimization
"We apply transfer learning techniques, finetuning BERT (Devlin et al., 2018) and XLM (Lample and Conneau, 2019) models in a predictor-estimator architecture",Applications,Applications
We build upon our BERT-based predictorestimator model to obtain document-level annotation and MQM predictions via a simple wordto-annotation conversion scheme,Model Optimization,Model Optimization
we propose a “bilingual” BERT using multi-task learning for translation quality estimation (called the QE BERT).,New Algorithm/ Method,New Algorithm/ Method
"we introduce our base model, which is a modified version of phrase-level Shef-bRNN (Ive et al., 2018), and further develop it by using different methods of extracting features from the input alongside the bi-RNN features",Model Optimization,Model Optimization
"we present two different approaches for the sentence-level QE task, which employ bi-directional translation knowledge and large-scale monolingual knowledge to the QE task, respectively",Theory Proposal,Theory Proposal
a simple ensemble of them can help to achieve better quality estimation performance in the sentence-level QE task,Performance Evaluation,Performance Evaluation
"we introduce a light-weight neural method with pre-trained embeddings, that means it does not require any pre-training",New Algorithm/ Method,New Algorithm/ Method
"to predict the required post-editing cost, measured in HTER",Performance Evaluation,Performance Evaluation
to rank all sentence pairs in descending translation quality,Performance Evaluation,Performance Evaluation
we propose a multisource APE model by extending Transformer to contain a joint multi-source encoder and a decoder that involves a multi-source attention layer to combine the outputs of the encoder.,New Algorithm/ Method,New Algorithm/ Method
"We also introduce the conservativeness penalty, a simple yet effective mechanism that controls the freedom of our APE in modifying the given MT output",New Algorithm/ Method,New Algorithm/ Method
we present a multi-source neural APE architecture model called transference,New Algorithm/ Method,New Algorithm/ Method
we explore the effect of adding tokens that identify partitions in the training data which may be relevant to guide the behaviour of the NPE system,Applications,Applications
"In order to tackle the over-correction problem and to induce a post-editing strategy that resembles the work of a human post-editor, we add a special token to the beginning of both the source text and the MT output indicating the amount of required post-editing",Performance Evaluation,Performance Evaluation
we re-implement a multi-source transformer model for the task,Model Optimization,Model Optimization
we designed a data preparation strategy for domainspecific translation systems to enrich data with terminology information without affecting the model architecture,Model Optimization,Model Optimization
we present an approach which aims at increasing the training corpus by mining similar in domain (Bio Med) sentences from out of domain data,Theory Proposal,Theory Proposal
"We have developed NMT system for English-French language pair, for translation in both directions",Theory Proposal,Theory Proposal
we present Huawei’s practices on adapting our NMT systems from general-domain to in-domain,New Algorithm/ Method,Model Proposal
"We apply transfer learning iteratively on datasets from different domains, obtaining strong models that cover two domains for both directions of the English-German language pair, and three domains for both directions of EnglishSpanish.",Applications,Applications
